WEEK,UNIQUE_PROGRAMS
2022-09-05 00:00:00.000,803
2022-08-29 00:00:00.000,759
2022-08-22 00:00:00.000,777
2022-05-23 00:00:00.000,912
2022-05-16 00:00:00.000,881
2022-05-09 00:00:00.000,872
2022-05-02 00:00:00.000,928
2021-05-03 00:00:00.000,232
2021-04-26 00:00:00.000,323
2020-11-16 00:00:00.000,33
2020-11-09 00:00:00.000,36
2020-11-02 00:00:00.000,40
2020-10-26 00:00:00.000,40
2021-06-28 00:00:00.000,183
2021-06-21 00:00:00.000,180
2021-06-14 00:00:00.000,186
2021-06-07 00:00:00.000,199
2024-05-06 00:00:00.000,543
2024-04-29 00:00:00.000,560
2024-04-22 00:00:00.000,543
2024-04-15 00:00:00.000,508
2023-07-10 00:00:00.000,559
2023-07-03 00:00:00.000,516
2023-06-26 00:00:00.000,527
2023-06-19 00:00:00.000,503
2021-10-11 00:00:00.000,590
2021-10-04 00:00:00.000,606
2021-09-27 00:00:00.000,503
2021-09-20 00:00:00.000,438
2024-01-01 00:00:00.000,732
2023-12-25 00:00:00.000,758
2023-12-18 00:00:00.000,764
2023-12-11 00:00:00.000,747
2023-11-13 00:00:00.000,651
2023-11-06 00:00:00.000,588
2023-10-30 00:00:00.000,558
2023-08-07 00:00:00.000,512
2023-07-31 00:00:00.000,528
2023-07-24 00:00:00.000,545
2023-07-17 00:00:00.000,526
2023-08-28 00:00:00.000,501
2023-08-21 00:00:00.000,528
2023-08-14 00:00:00.000,497
2023-12-04 00:00:00.000,679
2023-11-27 00:00:00.000,609
2023-11-20 00:00:00.000,643
﻿
